,Pressure,Temperature,Phase,Mass,S,H,V,Cp,Vis,Structure,Formula,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Mg#
0,2000.00,1743.15,liquid_0,99.568002,289.701114,-1163212.904360,37.196672,148.788332,1.396,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1738.15,liquid_0,99.568002,289.273721,-1163956.846033,37.184669,148.788337,1.412,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1733.15,liquid_0,99.568002,288.845096,-1164700.787729,37.172667,148.788342,1.429,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1728.15,liquid_0,99.568002,288.415233,-1165444.729450,37.160665,148.788346,1.445,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1723.15,liquid_0,99.568002,287.984125,-1166188.671194,37.148664,148.788351,1.462,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1718.15,liquid_0,99.568002,287.551764,-1166932.612963,37.136664,148.788356,1.478,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1713.15,liquid_0,99.568002,287.118142,-1167676.554756,37.124664,148.788361,1.495,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1708.15,liquid_0,99.568002,286.683254,-1168420.496572,37.112664,148.788366,1.512,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1703.15,liquid_0,99.568002,286.247090,-1169164.438413,37.100665,148.788371,1.529,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1698.15,liquid_0,99.568002,285.809644,-1169908.380279,37.088666,148.788375,1.546,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1693.15,liquid_0,99.568002,285.370908,-1170652.322168,37.076668,148.788380,1.563,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1688.15,liquid_0,99.568002,284.930875,-1171396.264082,37.064671,148.788385,1.580,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1683.15,liquid_0,99.568002,284.489536,-1172140.206020,37.052674,148.788390,1.597,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1678.15,liquid_0,99.568002,284.046885,-1172884.147982,37.040677,148.788395,1.615,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1673.15,liquid_0,99.568002,283.602912,-1173628.089968,37.028681,148.788400,1.632,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1668.15,liquid_0,99.568002,283.157611,-1174372.031979,37.016685,148.788405,1.650,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1663.15,liquid_0,99.568002,282.710973,-1175115.974014,37.004690,148.788409,1.668,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1658.15,liquid_0,99.568002,282.262990,-1175859.916074,36.992695,148.788414,1.686,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1653.15,liquid_0,99.568002,281.813654,-1176603.858158,36.980701,148.788419,1.704,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1648.15,liquid_0,99.568002,281.362957,-1177347.800266,36.968708,148.788424,1.722,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1643.15,liquid_0,99.568002,280.910891,-1178091.742399,36.956714,148.788429,1.740,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1638.15,liquid_0,99.568002,280.457447,-1178835.684557,36.944722,148.788434,1.758,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1633.15,liquid_0,99.568002,280.002617,-1179579.626739,36.932730,148.788439,1.777,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1628.15,liquid_0,99.568002,279.546393,-1180323.568946,36.920738,148.788444,1.795,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1623.15,liquid_0,99.568002,279.088765,-1181067.511177,36.908747,148.788449,1.814,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1618.15,liquid_0,99.568002,278.629725,-1181811.453433,36.896756,148.788454,1.833,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1613.15,liquid_0,99.568002,278.169265,-1182555.395713,36.884766,148.788459,1.851,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1608.15,liquid_0,99.568002,277.707375,-1183299.338018,36.872777,148.788463,1.870,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1603.15,liquid_0,99.568002,277.244046,-1184043.280348,36.860787,148.788468,1.890,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1598.15,liquid_0,99.568002,276.779271,-1184787.222703,36.848799,148.788473,1.909,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1593.15,liquid_0,99.568002,276.313039,-1185531.165082,36.836811,148.788478,1.928,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1588.15,liquid_0,99.568002,275.845342,-1186275.107486,36.824823,148.788483,1.948,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1583.15,liquid_0,99.568002,275.376169,-1187019.049915,36.812836,148.788488,1.967,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1578.15,liquid_0,99.568002,274.905513,-1187762.992369,36.800849,148.788493,1.987,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
